,XML file name,Brain,Slide #,Array #,spaceranger_dir,raw_image_path,initial_transform_x,initial_transform_y,initial_transform_theta
V11L05-336_A1,processed-data/10-image_stitching/imageJ/transformations/8667.xml,Br8667,V11L05-336,A1,/dcs04/lieber/lcolladotor/spatialHPC_LIBD4035/spatial_hpc/code/10-image_stitching/../../processed-data/01_spaceranger/spaceranger_2022-04-12_SPag033122/V11L05-336_A1/outs/spatial,/dcs04/lieber/lcolladotor/spatialHPC_LIBD4035/spatial_hpc/processed-data/Images/VistoSeg/Capture_areas/V11L05-336_A1.tif,4934.183442202039,10.278418195524912,0.17075998520993993
V11L05-336_B1,processed-data/10-image_stitching/imageJ/transformations/8667.xml,Br8667,V11L05-336,B1,/dcs04/lieber/lcolladotor/spatialHPC_LIBD4035/spatial_hpc/code/10-image_stitching/../../processed-data/01_spaceranger/spaceranger_2022-04-12_SPag033122/V11L05-336_B1/outs/spatial,/dcs04/lieber/lcolladotor/spatialHPC_LIBD4035/spatial_hpc/processed-data/Images/VistoSeg/Capture_areas/V11L05-336_B1.tif,24274.099362076668,2840.431925353449,-0.0
V11L05-336_C1,processed-data/10-image_stitching/imageJ/transformations/8667.xml,Br8667,V11L05-336,C1,/dcs04/lieber/lcolladotor/spatialHPC_LIBD4035/spatial_hpc/code/10-image_stitching/../../processed-data/01_spaceranger/spaceranger_2022-04-12_SPag033122/V11L05-336_C1/outs/spatial,/dcs04/lieber/lcolladotor/spatialHPC_LIBD4035/spatial_hpc/processed-data/Images/VistoSeg/Capture_areas/V11L05-336_C1.tif,5832.586030008308,11570.317990355052,-0.07853168142418408
V11L05-336_D1,processed-data/10-image_stitching/imageJ/transformations/8667.xml,Br8667,V11L05-336,D1,/dcs04/lieber/lcolladotor/spatialHPC_LIBD4035/spatial_hpc/code/10-image_stitching/../../processed-data/01_spaceranger/spaceranger_2022-04-12_SPag033122/V11L05-336_D1/outs/spatial,/dcs04/lieber/lcolladotor/spatialHPC_LIBD4035/spatial_hpc/processed-data/Images/VistoSeg/Capture_areas/V11L05-336_D1.tif,27189.517113979808,15065.725133781376,0.041354622155561564
