"gene","Top","p.value","FDR","summary.logFC","logFC.Sham","nmf10"
"NPTX2",1,0,0,4.60171033843591,4.60171033843591,8.61264693725706e-05
"SAMD4A",2,0,0,2.94151551082023,2.94151551082023,0.000200382095861769
"TLL1",3,0,0,3.96595118403808,3.96595118403808,0.000775349694378252
"PRDM5",4,0,0,-3.9936953510269,-3.9936953510269,6.12556600458477e-06
"PCDH8",5,2.32240014699e-294,3.50961110213125e-291,2.41503060028342,2.41503060028342,8.39312461581183e-05
"CSRNP3",6,1.95728965820251e-288,2.46488010956311e-285,-2.77876532856806,-2.77876532856806,0.00044279868771371
"BICD1",7,4.38741721795146e-282,4.73590349983472e-279,-2.55519734440311,-2.55519734440311,0.000201316550213405
"KIAA1549L",8,8.81519391412311e-263,8.32595065188905e-260,-2.45762570699608,-2.45762570699608,0.000350053011603327
"CCNJL",9,5.00778516207289e-261,4.20431385384714e-258,-3.79907098121433,-3.79907098121433,0.000310164815882427
"ARHGEF4",10,2.28428445882586e-256,1.7260053370889e-253,-2.90520520124847,-2.90520520124847,9.64936433293923e-05
"BCL11A",11,3.41051673486504e-255,2.34271494987628e-252,-2.84852481456413,-2.84852481456413,0.000284932354780733
"SIDT1",12,7.13085119900021e-254,4.49005930497036e-251,-2.61507222699557,-2.61507222699557,0.000242336936068752
"KSR1",13,2.15759040196178e-253,1.25405792901711e-250,-2.5392188403203,-2.5392188403203,0.000257260333555696
"CCBE1",14,8.49165575369596e-249,4.5830679196376e-246,-2.82895957494947,-2.82895957494947,0.000495161117953873
"ATXN7L1",15,5.56166370189144e-247,2.80159539543292e-244,-2.64274044725661,-2.64274044725661,0.000297265482619368
"CYP7B1",16,1.59188124877633e-239,7.5176591973464e-237,-2.23935513052573,-2.23935513052573,0.000300686298937716
"GALNT16",17,2.49217045822884e-238,1.10769646955157e-235,-2.5418618607747,-2.5418618607747,0.000315531888503792
"CLASP2",18,3.5633902278278e-236,1.49583203119258e-233,-2.3168508529747,-2.3168508529747,0.000237383026963705
"SUSD1",19,1.57612095929302e-234,6.26798419390458e-232,-3.39023705370847,-3.39023705370847,1.57265430464169e-05
"RASGRF2",20,1.1362748703217e-230,4.29284646007532e-228,-2.92912131148,-2.92912131148,0.000524887338497248
"ARHGAP20",21,9.62022084224434e-229,3.46144708019039e-226,-2.44364491925214,-2.44364491925214,0.000106431156886812
"ARSB",22,9.32908558666615e-228,3.204116849675e-225,-2.20691493144881,-2.20691493144881,7.36480310322609e-05
"KIAA0319",23,6.22798099664221e-226,2.04602714828825e-223,-3.67839011735959,-3.67839011735959,0.000100710960446825
"GNAL",24,6.23647496066825e-218,1.96345020011701e-215,-2.31679263546852,-2.31679263546852,0.000834116911533175
"FBXL20",25,9.43450828990382e-218,2.85148578554053e-215,-2.6398797585323,-2.6398797585323,0.000125103957409618
"MGLL",26,7.45453707870152e-216,2.16640316025651e-213,-2.70496437347362,-2.70496437347362,0.000137836376594937
"DPYSL5",27,1.05831353561012e-211,2.96171002780368e-209,2.1234824128551,2.1234824128551,2.9191829114617e-05
"FAM163B",28,6.13512299422601e-209,1.65560676229898e-206,-3.49115510458119,-3.49115510458119,1.83185509159359e-06
"ZBTB38",29,4.42369250209093e-205,1.15260070847582e-202,-2.59792469811008,-2.59792469811008,0.000108500968490382
"PDCD4",30,3.29408002482845e-203,8.29668955586785e-201,-2.4553357500791,-2.4553357500791,0.000228417946268819
"CRYBG3",31,5.94632057212828e-203,1.44936768525813e-200,3.40636331322272,3.40636331322272,3.21235921091429e-06
"DTD1",32,1.54356749877732e-202,3.64474875648803e-200,-2.26649005848278,-2.26649005848278,0.000120648459119276
"DOCK9",33,2.66572333501749e-200,6.10369864224014e-198,-2.18461447722212,-2.18461447722212,5.77457251258784e-05
