id,NeuN,TMEM119,GFAP,OLIG2,area
0,3.005671e-01,2.474480e+00,5.671078e-03,4.093762e+01,529
1,8.482143e-01,6.066964e+00,0.000000e+00,2.133036e+01,224
2,2.261905e+00,1.058333e+01,2.380952e-03,2.338571e+01,420
3,3.985149e-01,4.804455e+00,4.950495e-03,1.345792e+01,404
4,1.864372e+00,4.823887e+00,0.000000e+00,9.062753e+00,494
5,6.956522e-01,5.573913e+00,0.000000e+00,6.113043e+00,115
6,2.724796e-01,3.588556e+00,0.000000e+00,1.045232e+01,367
7,3.444444e+00,9.555556e+00,0.000000e+00,2.324444e+01,45
8,1.927586e+00,4.827586e+00,3.448276e-03,8.782759e+00,290
9,4.535519e-01,1.015574e+01,0.000000e+00,3.729235e+01,366
10,2.256831e+00,6.972678e+00,5.464481e-03,4.950820e+00,366
11,5.936321e+00,1.148821e+01,0.000000e+00,4.553538e+01,424
12,1.344262e+00,2.731557e+00,0.000000e+00,2.144467e+01,488
13,3.319549e+00,1.546992e+01,3.759398e-03,4.121053e+01,266
14,1.192105e+00,4.394737e+00,0.000000e+00,1.682368e+01,380
15,2.826446e+00,6.462810e+00,0.000000e+00,1.589669e+01,242
16,1.859410e+00,1.457596e+01,0.000000e+00,3.458503e+01,441
17,2.692946e+00,6.788382e+00,1.078838e-01,1.467427e+01,482
18,1.238671e+00,5.616314e+00,1.208459e-02,9.066465e+00,331
19,1.228650e+00,4.964187e+00,0.000000e+00,8.198347e+00,363
20,3.359195e+00,1.732184e+01,0.000000e+00,2.456609e+01,348
21,3.359155e+00,5.943662e+00,0.000000e+00,2.586268e+01,284
22,2.304569e+00,6.951777e+00,0.000000e+00,1.256853e+01,394
23,3.957643e+00,7.397790e+00,1.104972e-02,3.125230e+00,543
24,7.000000e-01,1.900000e+00,0.000000e+00,4.177778e+00,90
25,3.848718e+00,4.289744e+00,0.000000e+00,1.164615e+01,390
26,2.452020e+00,1.590909e+01,0.000000e+00,4.911111e+01,396
27,1.128852e+00,4.851541e+00,5.602241e-03,1.227731e+01,357
28,7.547445e+00,5.456204e+00,1.861314e-01,5.755474e+00,274
29,1.544601e+00,2.229577e+01,0.000000e+00,1.209390e+01,213
30,3.136919e+00,1.499756e+01,0.000000e+00,3.262592e+01,409
31,2.425000e+00,1.283000e+01,0.000000e+00,8.060000e+00,200
32,4.719536e-01,5.941973e+00,0.000000e+00,1.737137e+01,517
33,1.608108e+00,3.878378e+00,0.000000e+00,1.427027e+01,74
34,1.153846e+00,1.170136e+01,0.000000e+00,2.668552e+01,442
35,3.200000e+00,1.245641e+01,0.000000e+00,4.502051e+01,390
36,8.421053e-01,2.307018e+00,0.000000e+00,3.798246e+00,228
37,7.761194e-02,3.462687e+00,6.865672e-02,4.997015e+00,335
38,1.724551e+00,4.317365e+00,2.994012e-03,1.310479e+01,334
39,2.557994e+00,5.357367e+00,8.463950e-02,2.191223e+01,319
40,5.240175e-02,1.877729e+00,1.004367e+00,3.521397e+01,458
41,4.516129e-02,3.232258e+00,6.451613e-03,4.348387e+00,155
42,2.322222e+00,9.880000e+00,8.888889e-03,4.696667e+01,450
43,3.987879e+00,7.354343e+01,6.060606e-03,4.278788e+00,495
44,3.512346e+00,3.308642e+00,8.230453e-03,2.156996e+01,486
45,1.491892e+00,4.054054e+00,5.405405e-03,2.716486e+01,370
46,2.687500e+00,3.680288e+00,0.000000e+00,1.977885e+01,416
47,0.000000e+00,1.502618e+00,1.256545e+00,4.778534e+01,191
48,9.879518e-01,3.980723e+00,0.000000e+00,1.841205e+01,415
49,2.182390e+00,4.138365e+00,4.402516e-02,2.365723e+01,318
50,1.048117e+00,5.767782e+00,1.228033e+00,4.392678e+01,478
51,5.067114e-01,4.176510e+01,0.000000e+00,6.587248e+00,298
52,1.148649e-01,2.675676e+00,0.000000e+00,2.283784e+00,148
53,2.317188e+00,2.253906e+01,0.000000e+00,1.979375e+01,640
54,3.793388e+00,6.134986e+00,1.129477e-01,4.520110e+01,363
55,4.496644e+00,4.360179e+00,3.131991e-02,5.381655e+01,447
56,3.087751e+00,1.232176e+01,5.484461e-03,9.531993e+00,547
57,1.517060e+00,7.154856e+00,9.055118e-01,2.371391e+01,381
58,6.956522e-02,1.520290e+01,0.000000e+00,8.107246e+00,345
59,2.243655e+00,8.106599e+00,4.263959e-01,2.556853e+01,197
60,2.538660e+00,4.250000e+00,0.000000e+00,3.090722e+01,388
61,2.929104e+00,7.462687e+00,7.462687e-03,2.036940e+01,268
62,2.497902e+00,1.315944e+01,1.398601e-02,6.502517e+01,715
63,1.245856e+00,1.000276e+01,1.751381e+00,4.215470e+00,362
64,2.025751e+00,5.969957e+00,2.660944e-01,4.884120e+00,233
65,3.733471e+00,2.387603e+01,1.024793e+00,3.731198e+01,484
66,4.160584e-01,1.379562e+00,0.000000e+00,2.722628e+00,137
67,6.686930e-01,7.475684e+00,6.079027e-03,3.263830e+01,658
68,2.600000e+00,1.867636e+01,0.000000e+00,1.451273e+01,275
69,2.218295e+00,4.274220e+01,0.000000e+00,5.794179e+00,481
70,1.321839e+00,5.422989e+01,3.448276e-02,3.919540e+00,261
